BlockType,BlockNumber,TrialNumber,isGo?,PresentationTime,ReactionTime,ReactionTime2,Hit
Test,0,0,True,1500.117,1980.888,0,True
Test,0,1,False,3489.863,0,0,False
Test,0,2,True,6519.877,6961.133,0,True
Test,0,3,True,8479.897,8960.271,0,True
Test,0,4,False,10478.55,0,0,False
Test,0,5,True,13499.46,14001.24,0,True
Test,0,6,True,15519.55,16000.93,0,True
Test,0,7,True,17519.65,17980.95,0,True
Test,1,0,True,19499.7,20021.03,0,True
Test,1,1,False,21529.95,0,0,False
Test,1,2,True,24559.45,24960.95,0,True
Test,1,3,True,26479.98,26940.54,0,True
Test,1,4,False,28459.6,0,0,False
Test,1,5,True,31460.03,31921,0,True
Test,1,6,True,33439.91,33900.73,0,True
Test,1,7,True,35419.95,35871.34,0,True
Test,2,0,True,37379.7,37820.74,0,True
Test,2,1,True,39339.75,39800.93,0,True
Test,2,2,False,41319.86,0,0,False
Test,2,3,True,44339.59,44771.08,0,True
Test,2,4,True,46288.38,46721.34,0,True
Test,2,5,False,48239.83,0,0,False
Test,2,6,True,51259.77,51641.06,0,True
Test,2,7,True,53159.47,53640.64,0,True

